WellID,Metric1,Metric2,Metric3,Metadata1,Metadata2
A01,0.12,0.34,0.56,Sample1,Control
A02,0.14,0.36,0.58,Sample2,Treated
A03,0.16,0.38,0.6,Sample3,Control
A04,0.18,0.4,0.62,Sample4,Treated
A05,0.2,0.42,0.64,Sample5,Control
A06,0.22,0.44,0.66,Sample6,Treated
A07,0.24,0.46,0.68,Sample7,Control
A08,0.26,0.48,0.7,Sample8,Treated
A09,0.28,0.5,0.72,Sample9,Control
A10,0.3,0.52,0.74,Sample10,Treated
B01,0.32,0.54,0.76,Sample11,Control
B02,0.34,0.56,0.78,Sample12,Treated
B03,0.36,0.58,0.8,Sample13,Control
B04,0.38,0.6,0.82,Sample14,Treated
B05,0.4,0.62,0.84,Sample15,Control
B06,0.42,0.64,0.86,Sample16,Treated
B07,0.44,0.66,0.88,Sample17,Control
B08,0.46,0.68,0.9,Sample18,Treated
B09,0.48,0.7,0.92,Sample19,Control
B10,0.5,0.72,0.94,Sample20,Treated
P47,0.52,0.74,0.96,Sample1535,Control
P48,0.54,0.76,0.98,Sample1536,Treated
